year,n_total,n_msci,share_msci,share_low,share_high
2010,1647,0,0.0,0.0,0.002237250419052168
2011,1906,0,0.0,0.0,0.0019335320149453312
2012,2073,0,0.0,0.0,0.0017779060496879951
2013,2084,0,0.0,0.0,0.0017685300118882752
2014,2142,0,0.0,0.0,0.0017206838681096735
2015,2308,0,0.0,0.0,0.0015970247199357935
2016,2552,0,0.0,0.0,0.001444441468278288
2017,2962,0,0.0,0.0,0.0012446263805785504
2018,3135,151,0.0481658692185008,0.040935960494426875,0.05625293497495078
2019,3284,374,0.11388550548112059,0.10321574507607957,0.12524811141106174
2020,3608,373,0.10338137472283813,0.09363272588554933,0.11377777987507613
2021,3754,373,0.09936068193926478,0.08997276542092786,0.10937745813792255
2022,3790,372,0.09815303430079156,0.08886155269492628,0.10806928958089873
